"ID_PER","CVE_ENT","NOM_ENT","NOM_INT","private"
744.3145,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2721.1582,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
2157.7263,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
166.8727,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2573.0385,10,"Durango","CEFERESO 14 CPS DURANGO",1
2982.4628,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2002.3357,16,"Michoacán de Ocampo","CEFERESO 17 CPS MICHOACAN",1
2101.0136,18,"Nayarit","CEFERESO 4 NOROESTE",0
1992.8404,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
449.106,18,"Nayarit","CEFERESO 4 NOROESTE",0
2244.5237,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2596.392,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
351.9871,18,"Nayarit","CEFERESO 4 NOROESTE",0
2769.653,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
527.9405,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2401.0652,18,"Nayarit","CEFERESO 4 NOROESTE",0
1881.037,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
1283.9632,18,"Nayarit","CEFERESO 4 NOROESTE",0
1425.2999,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
699.081,15,"Estado de México","CEFERESO 1 ALTIPLANO",0
1306.441,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2861.8908,26,"Sonora","CEFERESO 11 CPS SONORA",1
226.3474,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2597.1843,26,"Sonora","CEFERESO 11 CPS SONORA",1
2531.1051,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2449.2085,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
2756.0347,26,"Sonora","CEFERESO 11 CPS SONORA",1
1324.2223,10,"Durango","CEFERESO 14 CPS DURANGO",1
104.8543,18,"Nayarit","CEFERESO 4 NOROESTE",0
509.3839,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2079.7146,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
2118.3276,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2410.8874,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2957.7734,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
1007.5214,20,"Oaxaca","CEFERESO 13 CPS OAXACA",1
2710.3806,11,"Guanajuato","CEFERESO 12 CPS GUANAJUATO",1
104.8183,25,"Sinaloa","CEFERESO NO 8 NOR-PONIENTE",0
2475.7476,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
3007.488,5,"Coahuila de Zaragoza","CENTRO PENITENCIARIO FEDERAL 18 ""CPS COAHUILA""",1
2162.3641,30,"Veracruz de Ignacio de la Llave","CEFERESO 5 ORIENTE",0
